time_s,x,y,yaw_rad,speed_mps,command_speed_mps,steering_rad,tracking_error_m,center_error_m,minimum_clearance_m,planning_ms,planner_status,collision_count,progress_percent
0.100,-0.00000,-0.00000,-0.00000,0.0000,0.0000,0.00000,inf,0.0000,3.2250,0.000,WAITING,0,0.00
0.200,-0.00226,-0.00008,0.00004,0.1042,0.0000,0.00000,0.0015,0.0001,3.2249,36.953,FEASIBLE,0,0.00
0.300,-0.00267,-0.00009,0.00005,0.0005,1.3721,0.05236,0.0092,0.0001,3.2249,43.033,FEASIBLE,0,0.00
0.400,-0.00558,0.00223,0.00373,0.0370,1.4222,0.08727,0.0131,0.0022,3.2228,35.006,FEASIBLE,0,0.00
0.500,-0.00673,0.00501,0.00776,0.0303,1.4303,0.12217,0.0357,0.0050,3.2200,36.072,FEASIBLE,0,0.00
0.600,-0.00262,0.00764,0.01151,0.0729,1.4315,0.15708,0.0174,0.0076,3.2174,35.307,FEASIBLE,0,0.00
0.700,0.00775,0.01088,0.01597,0.1331,1.4317,0.19199,0.0070,0.0109,3.2141,35.594,FEASIBLE,0,0.00
0.800,0.02459,0.01594,0.02279,0.2049,1.4318,0.20325,0.0095,0.0159,3.2091,37.207,FEASIBLE,0,0.00
0.900,0.04910,0.02349,0.03271,0.2910,1.4318,0.20274,0.0057,0.0235,3.2015,35.907,FEASIBLE,0,0.00
1.004,0.09053,0.03687,0.04955,0.4144,1.4318,0.19288,0.0065,0.0369,3.1881,35.148,FEASIBLE,0,0.00
1.100,0.12650,0.04911,0.06424,0.5087,1.4318,0.16908,0.0127,0.0491,3.1759,34.776,FEASIBLE,0,0.00
1.202,0.18141,0.06894,0.08682,0.6294,1.4318,0.16176,0.0142,0.0689,3.1561,36.257,FEASIBLE,0,0.00
1.300,0.24711,0.09454,0.11409,0.7503,1.4318,0.12685,0.0260,0.0945,3.1305,35.556,FEASIBLE,0,0.00
1.400,0.32324,0.12655,0.14570,0.8670,1.4318,0.09195,0.0368,0.1266,3.0984,36.046,FEASIBLE,0,0.50
1.500,0.38113,0.16228,0.16799,0.6757,1.4318,0.05704,0.0577,0.1623,3.0627,35.525,FEASIBLE,0,0.50
1.600,0.44021,0.20537,0.18863,0.8113,1.4318,0.02213,0.0774,0.2054,3.0196,34.404,FEASIBLE,0,0.50
1.700,0.53770,0.24757,0.20166,1.2163,1.4318,-0.01277,0.0278,0.2476,2.9774,35.234,FEASIBLE,0,0.50
1.800,0.65340,0.26707,0.22803,1.1545,1.4318,-0.04768,0.0356,0.2671,2.9579,34.820,FEASIBLE,0,0.50
1.900,0.80040,0.28477,0.23595,1.5812,1.4318,-0.08259,0.0271,0.2848,2.9402,35.235,FEASIBLE,0,1.00
2.000,0.98185,0.31353,0.22272,1.5032,1.4318,-0.11749,0.0300,0.3135,2.9115,35.455,FEASIBLE,0,1.00
2.100,1.10848,0.32963,0.20397,1.6589,1.4318,-0.15240,0.0462,0.3296,2.8954,35.413,FEASIBLE,0,1.00
2.200,1.27901,0.33761,0.17101,1.7431,1.4318,-0.18731,0.0284,0.3376,2.8874,34.448,FEASIBLE,0,1.50
