time_s,x,y,yaw_rad,speed_mps,command_speed_mps,steering_rad,tracking_error_m,center_error_m,minimum_clearance_m,planning_ms,planner_status,collision_count,progress_percent
0.100,-0.00000,-0.00000,-0.00000,0.0000,0.0000,0.00000,inf,0.0000,3.2250,0.000,WAITING,0,0.00
0.200,-0.00226,-0.00008,0.00004,0.1042,3.9038,0.00698,0.0015,0.0001,3.2249,35.113,FEASIBLE,0,0.00
0.300,-0.00256,-0.00009,0.00005,0.0036,2.6958,0.00698,0.0090,0.0001,3.2249,34.608,FEASIBLE,0,0.00
0.400,-0.00271,0.00093,0.00176,0.0326,2.4831,0.02094,0.0111,0.0009,3.2241,35.382,FEASIBLE,0,0.00
0.500,-0.00243,0.00395,0.00612,0.0392,2.6225,0.02094,0.0360,0.0039,3.2211,35.970,FEASIBLE,0,0.00
0.600,0.00272,0.00772,0.01150,0.0908,2.6487,0.02094,0.0166,0.0077,3.2173,35.273,FEASIBLE,0,0.00
0.700,0.01604,0.01154,0.01673,0.1733,2.5898,0.02273,0.0067,0.0115,3.2135,37.616,FEASIBLE,0,0.00
0.800,0.03854,0.01463,0.02057,0.2588,2.4838,0.00877,0.0058,0.0146,3.2104,37.539,FEASIBLE,0,0.00
0.900,0.07004,0.01655,0.02236,0.3480,2.4495,0.02273,0.0032,0.0166,3.2084,36.249,FEASIBLE,0,0.00
1.000,0.11065,0.01730,0.02213,0.4417,2.4647,0.02273,0.0225,0.0173,3.2077,35.204,FEASIBLE,0,0.00
1.102,0.16166,0.01739,0.02068,0.5560,2.3578,0.02273,0.0100,0.0174,3.2076,34.710,FEASIBLE,0,0.00
1.200,0.22490,0.01747,0.01899,0.6775,2.1891,0.03670,0.0165,0.0175,3.2075,35.597,FEASIBLE,0,0.00
1.300,0.31667,0.01880,0.01846,0.8229,1.8870,0.04368,0.0123,0.0188,3.2062,40.596,FEASIBLE,0,0.50
1.402,0.38734,0.02134,0.02016,0.9151,2.5995,0.03670,0.0007,0.0213,3.2037,35.694,FEASIBLE,0,0.50
1.500,0.46837,0.03364,0.02505,0.7300,2.8710,0.03670,0.0086,0.0336,3.1914,35.487,FEASIBLE,0,0.50
1.600,0.53668,0.04631,0.03677,0.7197,2.7467,0.02273,0.0234,0.0463,3.1787,34.137,FEASIBLE,0,0.50
1.700,0.61933,0.04997,0.04356,0.9184,2.8305,0.02273,0.0413,0.0500,3.1750,34.848,FEASIBLE,0,0.50
