time_s,x,y,yaw_rad,speed_mps,command_speed_mps,steering_rad,tracking_error_m,center_error_m,minimum_clearance_m,planning_ms,planner_status,collision_count,progress_percent
0.100,0.00000,-0.00000,-0.00000,0.0000,0.0000,0.00000,inf,0.0000,3.2250,0.000,WAITING,0,0.00
0.200,-0.00214,-0.00009,0.00009,0.0802,1.6266,0.00698,0.0016,0.0001,3.2249,34.662,FEASIBLE,0,0.00
0.300,-0.00340,0.00014,0.00184,0.0176,1.1232,0.00698,0.0100,0.0001,3.2249,35.503,FEASIBLE,0,0.00
0.400,0.00149,0.00100,0.00276,0.1102,1.0350,0.02094,0.0099,0.0010,3.2240,35.459,FEASIBLE,0,0.00
0.500,0.01721,0.00114,0.00216,0.2216,1.0957,0.02094,0.0442,0.0011,3.2239,34.281,FEASIBLE,0,0.00
0.600,0.05037,0.00251,0.00384,0.4146,1.0938,0.01295,0.0278,0.0025,3.2225,35.685,FEASIBLE,0,0.00
0.700,0.10599,0.00364,0.00507,0.6481,1.0428,0.02286,0.0239,0.0036,3.2214,36.368,FEASIBLE,0,0.00
0.800,0.18539,0.00489,0.00619,0.8878,0.9572,0.02286,0.0176,0.0049,3.2201,34.838,FEASIBLE,0,0.00
0.900,0.31053,0.00815,0.00943,1.1344,0.8839,0.03682,0.0377,0.0081,3.2169,34.331,FEASIBLE,0,0.50
1.000,0.40743,0.01004,0.01073,1.2464,0.8090,0.03682,0.0558,0.0100,3.2150,34.633,FEASIBLE,0,0.50
1.102,0.52558,0.01925,0.01296,0.9231,1.0332,0.03682,0.0178,0.0192,3.2058,34.199,FEASIBLE,0,0.50
1.200,0.60297,0.02035,0.01594,1.0433,1.1008,0.03743,0.0204,0.0204,3.2046,34.912,FEASIBLE,0,0.50
1.300,0.72057,0.01992,0.01836,1.2550,1.0000,0.03798,0.0204,0.0199,3.2051,33.919,FEASIBLE,0,0.50
1.402,0.85446,0.02160,0.02098,0.9907,0.8895,0.03798,0.0335,0.0216,3.2034,34.154,FEASIBLE,0,1.00
1.500,0.92360,0.02524,0.02311,0.7875,1.0633,0.03798,0.0009,0.0252,3.1998,33.882,FEASIBLE,0,1.00
1.600,0.98891,0.02928,0.02551,0.5815,1.1533,0.02401,0.0099,0.0293,3.1957,33.875,FEASIBLE,0,1.00
1.700,1.03890,0.03194,0.02705,0.4505,1.1953,0.02401,0.0384,0.0319,3.1931,43.757,FEASIBLE,0,1.00
1.800,1.07762,0.03442,0.02845,0.3563,1.1259,0.01005,0.0054,0.0344,3.1906,35.538,FEASIBLE,0,1.00
1.900,1.11061,0.03782,0.02945,0.3187,1.0356,0.01005,0.0007,0.0378,3.1872,33.051,FEASIBLE,0,1.00
2.000,1.14646,0.04009,0.03066,0.3780,1.0312,0.01005,0.0249,0.0401,3.1849,33.897,FEASIBLE,0,1.00
2.100,1.18977,0.04146,0.03058,0.4844,0.9771,0.01005,0.0039,0.0415,3.1835,33.846,FEASIBLE,0,1.00
2.200,1.24801,0.04307,0.03069,0.6502,0.9495,0.02401,0.0250,0.0431,3.1819,33.059,FEASIBLE,0,1.00
2.300,1.32492,0.04616,0.03200,0.8624,1.2340,0.02401,0.0150,0.0462,3.1788,33.632,FEASIBLE,0,1.50
2.400,1.42568,0.05015,0.03351,1.1103,1.3576,0.02401,0.0135,0.0502,3.1748,33.638,FEASIBLE,0,1.50
2.500,1.55055,0.05632,0.03674,1.3404,1.3421,0.03798,0.0325,0.0563,3.1687,32.276,FEASIBLE,0,1.50
