time_s,x,y,yaw_rad,speed_mps,command_speed_mps,steering_rad,tracking_error_m,center_error_m,minimum_clearance_m,planning_ms,planner_status,collision_count,progress_percent
0.100,-0.00000,-0.00000,-0.00000,0.0000,0.0000,0.00000,inf,0.0000,3.2250,0.000,WAITING,0,0.00
0.200,-0.00268,-0.00009,0.00005,0.0676,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.300,-0.00267,-0.00009,0.00005,0.0001,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.400,-0.00266,-0.00009,0.00005,0.0002,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.500,-0.00264,-0.00009,0.00005,0.0003,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.600,-0.00261,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.700,-0.00258,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.800,-0.00254,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.900,-0.00251,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
1.000,-0.00247,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
1.102,-0.00243,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
1.202,-0.00240,-0.00009,0.00005,0.0004,0.0000,0.00000,0.0127,0.0001,3.2249,36.231,FEASIBLE,0,0.00
1.300,-0.00274,-0.00033,-0.00057,0.0213,0.5000,-0.04686,0.0270,0.0003,3.2247,35.149,FEASIBLE,0,0.00
1.402,-0.00576,-0.00306,-0.00495,0.0335,0.5000,-0.05736,0.0160,0.0031,3.2219,34.964,FEASIBLE,0,0.00
1.500,-0.00617,-0.00545,-0.00840,0.0308,0.5000,-0.05547,0.0164,0.0054,3.2196,35.480,FEASIBLE,0,0.00
1.600,-0.00167,-0.00816,-0.01219,0.0741,0.5000,-0.06476,0.0194,0.0082,3.2168,33.733,FEASIBLE,0,0.00
1.700,0.01096,-0.00959,-0.01390,0.1563,0.5000,-0.07755,0.0344,0.0096,3.2154,35.247,FEASIBLE,0,0.00
1.800,0.03096,-0.00977,-0.01373,0.2276,0.5000,-0.06490,0.0033,0.0098,3.2152,34.793,FEASIBLE,0,0.00
1.900,0.05720,-0.01103,-0.01500,0.2893,0.5000,-0.04804,0.0022,0.0110,3.2140,35.154,FEASIBLE,0,0.00
2.000,0.09217,-0.01379,-0.01799,0.3901,0.5000,-0.05086,0.0328,0.0138,3.2112,35.003,FEASIBLE,0,0.00
2.100,0.13784,-0.01659,-0.02067,0.4985,0.5000,-0.03443,0.0125,0.0166,3.2084,35.179,FEASIBLE,0,0.00
2.200,0.19470,-0.01883,-0.02207,0.6091,0.5000,-0.02373,0.0339,0.0188,3.2062,34.809,FEASIBLE,0,0.00
2.300,0.26130,-0.02072,-0.02257,0.6972,0.6013,0.00040,0.0288,0.0207,3.2043,35.512,FEASIBLE,0,0.50
2.400,0.33625,-0.02321,-0.02363,0.7786,0.5162,0.02807,0.0350,0.0232,3.2018,35.091,FEASIBLE,0,0.50
2.500,0.41861,-0.02628,-0.02513,0.8462,0.5026,0.00929,0.0406,0.0263,3.1987,34.327,FEASIBLE,0,0.50
2.600,0.48943,-0.03810,-0.02525,0.6877,0.5004,-0.04307,0.0531,0.0381,3.1869,35.673,FEASIBLE,0,0.50
2.700,0.55864,-0.03895,-0.02893,0.7518,0.5001,-0.09037,0.0003,0.0389,3.1861,35.590,FEASIBLE,0,0.50
2.800,0.64494,-0.03630,-0.02773,0.9445,0.6013,-0.08175,0.0042,0.0363,3.1887,34.904,FEASIBLE,0,0.50
2.900,0.73657,-0.03587,-0.02790,0.8914,0.6175,-0.06445,0.0517,0.0359,3.1891,35.777,FEASIBLE,0,0.50
3.000,0.82530,-0.04070,-0.03113,0.8753,0.6201,-0.06445,0.0093,0.0407,3.1843,36.915,FEASIBLE,0,1.00
3.100,0.90992,-0.04859,-0.03788,0.8289,0.6205,-0.10450,0.0501,0.0486,3.1764,34.436,FEASIBLE,0,1.00
3.200,0.98844,-0.05873,-0.04715,0.7638,0.5193,-0.12885,0.0085,0.0587,3.1663,34.573,FEASIBLE,0,1.00
3.300,1.05876,-0.06996,-0.05748,0.6773,0.6044,-0.09683,0.0431,0.0700,3.1550,36.313,FEASIBLE,0,1.00
3.400,1.11968,-0.08106,-0.06744,0.5820,0.5167,-0.09683,0.0308,0.0811,3.1439,34.889,FEASIBLE,0,1.00
3.500,1.17085,-0.09071,-0.07560,0.4805,0.6039,-0.10433,0.0094,0.0907,3.1343,34.456,FEASIBLE,0,1.00
3.600,1.21261,-0.09776,-0.08061,0.3877,0.5166,-0.14104,0.0044,0.0978,3.1272,34.647,FEASIBLE,0,1.00
3.700,1.25156,-0.10227,-0.08238,0.2883,0.6039,-0.15996,0.0250,0.1023,3.1227,34.903,FEASIBLE,0,1.50
3.800,1.27190,-0.10393,-0.08226,0.2366,0.5166,-0.14428,0.0025,0.1039,3.1211,34.128,FEASIBLE,0,1.50
3.900,1.29574,-0.10614,-0.08249,0.1767,0.5027,-0.12386,0.0082,0.1061,3.1189,34.577,FEASIBLE,0,1.50
4.000,1.30823,-0.10844,-0.08420,0.1506,0.5004,-0.14523,0.0073,0.1084,3.1166,35.033,FEASIBLE,0,1.50
4.100,1.32214,-0.11294,-0.08872,0.1470,0.5001,-0.18945,0.0080,0.1129,3.1121,34.006,FEASIBLE,0,1.50
4.200,1.33602,-0.11822,-0.09423,0.1505,0.5000,-0.18951,0.0082,0.1182,3.1068,33.196,FEASIBLE,0,1.50
4.302,1.35396,-0.12533,-0.10159,0.1712,0.5000,-0.19323,0.0204,0.1253,3.0997,35.135,FEASIBLE,0,1.50
4.400,1.36782,-0.13093,-0.10733,0.1975,0.5000,-0.18459,0.0014,0.1309,3.0941,34.965,FEASIBLE,0,1.50
4.500,1.38903,-0.13940,-0.11572,0.2532,0.5000,-0.18505,0.0281,0.1394,3.0856,35.106,FEASIBLE,0,1.50
4.600,1.42228,-0.14943,-0.12388,0.3154,0.5000,-0.17407,0.0080,0.1494,3.0756,34.377,FEASIBLE,0,1.50
4.700,1.44942,-0.15566,-0.12762,0.3690,0.5000,-0.17648,0.0430,0.1557,3.0693,34.815,FEASIBLE,0,1.50
4.800,1.49943,-0.16637,-0.13322,0.4708,0.5000,-0.15549,0.0085,0.1664,3.0586,34.288,FEASIBLE,0,1.50
