time_s,x,y,yaw_rad,speed_mps,command_speed_mps,steering_rad,tracking_error_m,center_error_m,minimum_clearance_m,planning_ms,planner_status,collision_count,progress_percent
0.100,-0.00000,-0.00000,-0.00000,0.0000,0.0000,0.00000,inf,0.0000,3.2250,0.000,WAITING,0,0.00
0.200,-0.00226,-0.00008,0.00004,0.1042,0.0000,0.00000,0.0015,0.0001,3.2249,38.701,FEASIBLE,0,0.00
0.300,-0.00267,-0.00009,0.00005,0.0005,3.3859,-0.07854,0.0092,0.0001,3.2249,35.470,FEASIBLE,0,0.00
0.400,-0.00608,-0.00260,-0.00427,0.0399,3.9591,-0.12465,0.0085,0.0026,3.2224,34.224,FEASIBLE,0,0.00
0.500,-0.00709,-0.00614,-0.00939,0.0327,4.4200,-0.14846,0.0442,0.0061,3.2189,35.077,FEASIBLE,0,0.00
0.600,-0.00319,-0.00817,-0.01225,0.0730,4.5248,-0.15162,0.0249,0.0082,3.2168,34.822,FEASIBLE,0,0.00
0.700,0.00719,-0.01141,-0.01671,0.1331,4.4060,-0.14577,0.0154,0.0114,3.2136,35.823,FEASIBLE,0,0.00
0.800,0.02402,-0.01647,-0.02353,0.2048,4.2134,-0.13267,0.0032,0.0165,3.2085,34.991,FEASIBLE,0,0.00
0.900,0.04852,-0.02405,-0.03344,0.2909,4.1247,-0.12725,0.0143,0.0240,3.2010,35.066,FEASIBLE,0,0.00
1.000,0.08202,-0.03483,-0.04706,0.3922,4.1035,-0.12421,0.0366,0.0348,3.1902,36.144,FEASIBLE,0,0.00
1.100,0.12588,-0.04971,-0.06497,0.5087,4.3895,-0.12672,0.0028,0.0497,3.1753,33.904,FEASIBLE,0,0.00
1.202,0.18079,-0.06958,-0.08755,0.6297,4.9207,-0.11840,0.0266,0.0696,3.1554,35.542,FEASIBLE,0,0.00
1.300,0.24647,-0.09523,-0.11483,0.7501,5.4658,-0.14978,0.0238,0.0952,3.1298,35.111,FEASIBLE,0,0.00
1.400,0.33797,-0.13490,-0.15335,0.8572,5.6550,-0.16119,0.0451,0.1349,3.0901,35.865,FEASIBLE,0,0.50
1.500,0.39230,-0.17474,-0.17946,0.7096,5.8645,-0.17449,0.0513,0.1747,3.0503,34.794,FEASIBLE,0,0.50
1.600,0.43908,-0.21446,-0.20535,0.8332,2.0000,-0.20181,0.0478,0.2145,3.0105,34.816,FEASIBLE,0,0.50
1.700,0.52140,-0.27604,-0.24229,1.1534,4.9409,-0.17702,0.0586,0.2760,2.9490,34.501,FEASIBLE,0,0.50
1.800,0.63583,-0.32854,-0.29916,1.2381,4.4723,-0.15294,0.1073,0.3285,2.8965,35.279,FEASIBLE,0,0.50
1.900,0.77975,-0.38764,-0.35584,1.7672,3.8430,-0.10831,0.1270,0.3876,2.8374,35.558,FEASIBLE,0,1.00
2.000,0.91764,-0.48031,-0.42682,1.6241,3.3310,-0.05595,0.2066,0.4803,2.7447,34.618,FEASIBLE,0,1.00
2.100,1.04333,-0.59393,-0.49190,1.7455,3.5432,-0.05595,0.1990,0.5939,2.6311,22.597,FEASIBLE,0,1.00
2.200,1.16907,-0.72443,-0.56135,1.8618,2.0000,-0.10831,0.2287,0.7244,2.5006,23.100,FEASIBLE,0,1.00
2.300,1.29938,-0.87234,-0.63097,2.0493,2.0000,-0.15314,0.2546,0.8723,2.3527,22.851,FEASIBLE,0,1.50
2.400,1.43290,-1.03206,-0.69323,2.0855,2.0000,-0.15137,0.2739,1.0321,2.1929,24.136,FEASIBLE,0,1.50
2.500,1.56801,-1.19854,-0.74412,2.1832,2.3513,-0.17385,0.2979,1.1985,2.0265,22.925,FEASIBLE,0,1.50
2.600,1.70926,-1.37348,-0.78376,2.2902,2.1652,-0.16979,0.3299,1.3735,1.8515,22.971,FEASIBLE,0,1.50
2.700,1.85806,-1.55455,-0.81158,2.3778,2.1355,-0.12753,0.3246,1.5546,1.6704,23.359,FEASIBLE,0,2.00
2.800,2.01363,-1.74113,-0.82864,2.4598,2.1307,-0.13342,0.3391,1.7411,1.4839,8.137,FEASIBLE,0,2.00
2.900,2.17522,-1.93206,-0.83698,2.5217,2.1299,-0.15574,0.3589,1.9321,1.2929,7.986,FEASIBLE,0,2.00
3.000,2.34189,-2.11854,-0.83859,2.5191,2.1298,-0.18037,0.3255,2.1185,1.1065,7.913,FEASIBLE,0,2.50
3.100,2.51199,-2.30508,-0.83572,2.5278,2.1298,-0.22253,0.3600,2.3051,0.9199,7.973,FEASIBLE,0,2.50
3.200,2.71801,-2.52567,-0.82917,2.5021,2.1298,-0.23422,0.4001,2.5257,0.6993,8.278,FEASIBLE,0,2.50
3.300,2.85523,-2.66941,-0.82451,2.4748,2.1418,-0.20038,0.3363,2.6694,0.5556,8.512,FEASIBLE,0,3.00
3.400,3.02423,-2.84635,-0.82015,2.4284,2.1317,-0.20633,0.3598,2.8464,0.3786,7.754,FEASIBLE,0,3.00
3.500,3.18821,-3.02037,-0.81927,2.3724,2.1301,-0.20502,0.3050,3.0204,0.2046,7.932,FEASIBLE,0,3.00
3.600,3.37341,-3.22806,-0.82555,2.2755,2.1298,-0.22543,0.3647,3.2281,-0.0031,8.006,FEASIBLE,1,3.50
3.700,3.48650,-3.36312,-0.83554,2.1570,1.6825,-0.26786,0.3150,3.3631,-0.1381,8.038,FEASIBLE,1,3.50
3.800,3.61339,-3.52884,-0.85624,2.0762,1.4321,-0.27916,0.3060,3.5288,-0.3038,7.884,FEASIBLE,1,3.50
3.900,3.72673,-3.70387,-0.88779,1.9812,1.3920,-0.27642,0.2835,3.7039,-0.4789,7.918,FEASIBLE,1,3.50
4.000,3.81461,-3.87004,-0.92846,1.8007,1.3004,-0.24865,0.2583,3.8700,-0.6450,7.947,FEASIBLE,1,4.00
4.100,3.88275,-4.02397,-0.97776,1.6059,1.7841,-0.24865,0.2481,4.0240,-0.7990,7.954,FEASIBLE,1,4.00
4.200,3.93107,-4.16989,-1.03277,1.5093,0.0000,0.00000,inf,4.1699,-0.9449,0.239,INFEASIBLE: no collision-free lattice connection,1,4.00
4.300,3.96780,-4.32538,-1.09443,1.6803,0.0000,0.00000,inf,4.3254,-1.1004,0.234,INFEASIBLE: no collision-free lattice connection,1,4.00
4.400,4.00783,-4.48094,-1.14987,1.3701,0.0000,0.00000,inf,4.4809,-1.2559,0.232,INFEASIBLE: no collision-free lattice connection,1,4.00
4.500,4.02448,-4.60460,-1.20286,1.0749,0.0000,0.00000,inf,4.6046,-1.3796,0.374,INFEASIBLE: no collision-free lattice connection,1,4.00
4.600,4.02988,-4.70350,-1.24129,0.9280,0.0000,0.00000,inf,4.7035,-1.4785,0.241,INFEASIBLE: no collision-free lattice connection,1,4.00
4.700,4.03220,-4.78898,-1.27433,0.7905,0.0000,0.00000,inf,4.7890,-1.5640,0.237,INFEASIBLE: no collision-free lattice connection,1,4.00
4.800,4.03268,-4.85814,-1.30095,0.6272,0.0000,0.00000,inf,4.8581,-1.6331,0.263,INFEASIBLE: no collision-free lattice connection,1,4.00
4.900,4.03175,-4.91193,-1.32161,0.4694,0.0000,0.00000,inf,4.9119,-1.6869,0.256,INFEASIBLE: no collision-free lattice connection,1,4.00
5.000,4.03014,-4.94934,-1.33605,0.3085,0.0000,0.00000,inf,4.9493,-1.7243,0.256,INFEASIBLE: no collision-free lattice connection,1,4.00
5.100,4.02897,-4.97059,-1.34425,0.1475,0.0000,0.00000,inf,4.9706,-1.7456,0.256,INFEASIBLE: no collision-free lattice connection,1,4.00
5.200,4.02840,-4.97569,-1.34684,0.0188,0.0000,0.00000,inf,4.9757,-1.7507,0.256,INFEASIBLE: no collision-free lattice connection,1,4.00
5.300,4.02694,-4.96870,-1.34871,0.1071,0.0000,0.00000,inf,4.9687,-1.7437,0.256,INFEASIBLE: no collision-free lattice connection,1,4.00
5.400,4.02251,-4.95166,-1.35085,0.2286,0.0000,0.00000,inf,4.9517,-1.7267,0.256,INFEASIBLE: no collision-free lattice connection,1,4.00
5.500,4.01153,-4.92261,-1.35677,0.3622,0.0000,0.00000,inf,4.9226,-1.6976,0.256,INFEASIBLE: no collision-free lattice connection,1,4.00
5.600,3.99739,-4.87998,-1.36444,0.4844,0.0000,0.00000,inf,4.8800,-1.6550,0.256,INFEASIBLE: no collision-free lattice connection,1,4.00
5.700,3.98430,-4.81417,-1.35962,0.6162,0.0000,0.00000,inf,4.8142,-1.5892,0.256,INFEASIBLE: no collision-free lattice connection,1,4.00
5.800,3.97892,-4.76204,-1.34874,0.6587,0.0000,0.00000,inf,4.7620,-1.5370,0.256,INFEASIBLE: no collision-free lattice connection,1,4.00
