time_s,x,y,yaw_rad,speed_mps,command_speed_mps,steering_rad,tracking_error_m,center_error_m,minimum_clearance_m,planning_ms,planner_status,collision_count,progress_percent
0.102,-0.00000,-0.00000,-0.00000,0.0000,0.0000,0.00000,inf,0.0000,3.2250,0.000,WAITING,0,0.00
0.200,-0.00226,-0.00008,0.00004,0.1042,3.9038,0.00698,0.0015,0.0001,3.2249,36.998,FEASIBLE,0,0.00
0.300,-0.00398,0.00083,0.00175,0.0418,2.6958,0.00698,0.0106,0.0008,3.2242,35.979,FEASIBLE,0,0.00
0.400,-0.00551,0.00285,0.00469,0.0143,2.4832,0.02094,0.0136,0.0028,3.2222,35.687,FEASIBLE,0,0.00
0.500,-0.00410,0.00519,0.00807,0.0398,2.6384,0.02094,0.0375,0.0052,3.2198,35.252,FEASIBLE,0,0.00
0.600,0.00214,0.00848,0.01272,0.0983,2.6656,0.02094,0.0175,0.0085,3.2165,36.735,FEASIBLE,0,0.00
0.700,0.01578,0.01231,0.01794,0.1737,2.6009,0.03491,0.0071,0.0123,3.2127,37.309,FEASIBLE,0,0.00
0.800,0.03790,0.01617,0.02286,0.2538,2.4903,0.02094,0.0068,0.0162,3.2088,38.166,FEASIBLE,0,0.00
0.900,0.06860,0.02036,0.02776,0.3454,2.4557,0.03491,0.0003,0.0204,3.2046,36.730,FEASIBLE,0,0.00
1.000,0.10915,0.02418,0.03153,0.4455,2.4793,0.03491,0.0182,0.0242,3.2008,35.727,FEASIBLE,0,0.00
1.102,0.17225,0.02912,0.03558,0.5819,2.3851,0.03491,0.0066,0.0291,3.1959,34.285,FEASIBLE,0,0.00
1.200,0.22357,0.03329,0.03884,0.6770,2.2324,0.03491,0.0093,0.0333,3.1917,36.733,FEASIBLE,0,0.00
1.300,0.29833,0.04011,0.04419,0.7947,2.0178,0.02094,0.0015,0.0401,3.1849,39.145,FEASIBLE,0,0.50
1.400,0.38491,0.04841,0.05024,0.9124,2.6929,0.02094,0.0091,0.0484,3.1766,35.996,FEASIBLE,0,0.50
1.502,0.47238,0.06902,0.05536,0.7184,3.0050,0.02094,0.0201,0.0690,3.1560,35.590,FEASIBLE,0,0.50
1.600,0.52845,0.08287,0.06133,0.7468,2.9239,0.02094,0.0326,0.0829,3.1421,34.656,FEASIBLE,0,0.50
