time_s,x,y,yaw_rad,speed_mps,command_speed_mps,steering_rad,tracking_error_m,center_error_m,minimum_clearance_m,planning_ms,planner_status,collision_count,progress_percent
0.100,-0.00000,-0.00000,-0.00000,0.0000,0.0000,0.00000,inf,0.0000,3.2250,0.000,WAITING,0,0.00
0.200,-0.00226,-0.00008,0.00004,0.1042,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.300,-0.00267,-0.00009,0.00005,0.0001,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.400,-0.00266,-0.00009,0.00005,0.0002,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.500,-0.00264,-0.00009,0.00005,0.0003,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.600,-0.00261,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.700,-0.00257,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.800,-0.00254,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.900,-0.00251,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
1.000,-0.00247,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
1.100,-0.00244,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
1.200,-0.00240,-0.00009,0.00005,0.0004,3.8579,0.00698,0.0127,0.0001,3.2249,36.701,FEASIBLE,0,0.00
1.300,-0.00215,-0.00009,0.00005,0.0057,2.6032,0.00698,0.0267,0.0001,3.2249,37.641,FEASIBLE,0,0.00
1.402,-0.00221,0.00081,0.00167,0.0271,2.4223,0.00860,0.0192,0.0008,3.2242,36.593,FEASIBLE,0,0.00
1.500,0.00111,0.00235,0.00390,0.0510,2.3816,0.01558,0.0215,0.0023,3.2227,39.274,FEASIBLE,0,0.00
1.600,0.00664,0.00393,0.00615,0.0901,2.3913,0.00860,0.0244,0.0039,3.2211,35.131,FEASIBLE,0,0.00
1.700,0.02303,0.00676,0.01002,0.1786,2.6117,0.00162,0.0293,0.0068,3.2182,36.586,FEASIBLE,0,0.00
1.800,0.04093,0.00821,0.01183,0.2494,2.5102,-0.00536,0.0001,0.0082,3.2168,36.792,FEASIBLE,0,0.00
1.900,0.07152,0.00899,0.01241,0.3394,2.3943,0.00239,0.0008,0.0090,3.2160,36.980,FEASIBLE,0,0.00
2.000,0.11102,0.00828,0.01068,0.4320,2.4144,0.00239,0.0309,0.0083,3.2167,37.323,FEASIBLE,0,0.00
2.102,0.17342,0.00610,0.00669,0.5737,2.2905,0.00239,0.0152,0.0061,3.2189,39.124,FEASIBLE,0,0.00
2.200,0.22423,0.00442,0.00384,0.6692,2.1990,0.01636,0.0340,0.0044,3.2206,38.830,FEASIBLE,0,0.00
2.300,0.29881,0.00277,0.00115,0.7922,1.9964,0.03032,0.0306,0.0028,3.2222,36.132,FEASIBLE,0,0.50
2.400,0.38581,0.00264,0.00082,0.9147,2.6143,0.04428,0.0203,0.0026,3.2224,35.822,FEASIBLE,0,0.50
2.500,0.47367,0.00816,0.00449,0.7559,2.9377,0.05824,0.0316,0.0082,3.2168,36.969,FEASIBLE,0,0.50
2.600,0.54683,0.01349,0.01064,0.7746,2.8442,0.05824,0.0290,0.0135,3.2115,36.068,FEASIBLE,0,0.50
2.700,0.63273,0.02007,0.01938,0.9498,2.6093,0.05824,0.0139,0.0201,3.2049,36.415,FEASIBLE,0,0.50
2.800,0.74666,0.03169,0.03488,1.3236,2.4067,0.04428,0.0274,0.0317,3.1933,36.423,FEASIBLE,0,0.50
2.900,0.89133,0.05399,0.05716,1.5108,2.2155,0.03032,0.0370,0.0540,3.1710,35.689,FEASIBLE,0,1.00
3.000,1.04691,0.08108,0.08057,1.6232,2.6744,0.03032,0.0186,0.0811,3.1439,36.466,FEASIBLE,0,1.00
3.100,1.21341,0.11207,0.10316,1.7397,3.0040,0.01636,0.0091,0.1121,3.1129,36.788,FEASIBLE,0,1.00
3.200,1.39113,0.14572,0.12292,1.8563,2.8288,0.00239,0.0086,0.1457,3.0793,36.691,FEASIBLE,0,1.50
3.300,1.58040,0.18056,0.13787,1.9729,3.5101,-0.01157,0.0178,0.1806,3.0444,34.701,FEASIBLE,0,1.50
3.400,1.78183,0.21435,0.14599,2.0908,4.0495,-0.02553,0.0168,0.2143,3.0107,35.527,FEASIBLE,0,2.00
3.500,1.99591,0.24442,0.14536,2.2109,3.6998,-0.03949,0.0453,0.2444,2.9806,36.747,FEASIBLE,0,2.00
3.600,2.22348,0.26775,0.13437,2.3402,4.8787,-0.05346,0.0226,0.2677,2.9573,34.580,FEASIBLE,0,2.00
3.700,2.46707,0.28194,0.11281,2.5289,5.1860,-0.06268,0.0173,0.2819,2.9431,35.055,FEASIBLE,0,2.50
3.800,2.72863,0.28707,0.08201,2.6724,5.1469,-0.06268,0.0139,0.2871,2.9379,36.080,FEASIBLE,0,2.50
3.900,2.99654,0.27807,0.04457,2.7128,5.2512,-0.06268,0.0183,0.2781,2.9469,35.931,FEASIBLE,0,3.00
4.000,3.27316,0.25417,0.00167,2.8207,3.5712,-0.04872,0.0089,0.2542,2.9708,36.155,FEASIBLE,0,3.50
4.100,3.55874,0.21447,-0.04534,2.9270,2.6120,-0.03476,0.0430,0.2145,3.0105,36.594,FEASIBLE,0,3.50
