time_s,x,y,yaw_rad,speed_mps,command_speed_mps,steering_rad,tracking_error_m,center_error_m,minimum_clearance_m,planning_ms,planner_status,collision_count,progress_percent
0.100,-0.00000,-0.00000,-0.00000,0.0000,0.0000,0.00000,inf,0.0000,3.2250,0.000,WAITING,0,0.00
0.200,-0.00226,-0.00008,0.00004,0.1042,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.300,-0.00267,-0.00009,0.00005,0.0002,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.400,-0.00266,-0.00009,0.00005,0.0002,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.500,-0.00264,-0.00009,0.00005,0.0003,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.600,-0.00260,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.700,-0.00258,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.800,-0.00254,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.900,-0.00251,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
1.000,-0.00247,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
1.102,-0.00243,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
1.200,-0.00240,-0.00009,0.00005,0.0004,3.8579,0.00698,0.0127,0.0001,3.2249,36.207,FEASIBLE,0,0.00
1.302,-0.00417,0.00131,0.00230,0.0442,2.6032,0.00698,0.0291,0.0013,3.2237,35.888,FEASIBLE,0,0.00
1.400,-0.00445,0.00236,0.00382,0.0143,2.4588,0.02094,0.0131,0.0024,3.2226,36.902,FEASIBLE,0,0.00
1.500,-0.00333,0.00471,0.00720,0.0376,2.4224,0.02094,0.0221,0.0047,3.2203,36.787,FEASIBLE,0,0.00
1.600,0.00434,0.00887,0.01307,0.1081,2.4096,0.02094,0.0275,0.0089,3.2161,34.499,FEASIBLE,0,0.00
1.700,0.01526,0.01226,0.01772,0.1636,2.5778,0.02094,0.0268,0.0123,3.2127,36.413,FEASIBLE,0,0.00
1.800,0.03645,0.01714,0.02412,0.2517,2.5465,0.00698,0.0038,0.0171,3.2079,35.438,FEASIBLE,0,0.00
1.900,0.06711,0.02154,0.02927,0.3454,2.4416,0.00698,0.0041,0.0215,3.2035,36.160,FEASIBLE,0,0.00
2.000,0.10774,0.02470,0.03201,0.4455,2.4841,0.00698,0.0254,0.0247,3.2003,37.522,FEASIBLE,0,0.00
2.102,0.17038,0.02548,0.03027,0.5697,2.3746,0.00698,0.0099,0.0255,3.1995,37.010,FEASIBLE,0,0.00
2.200,0.22085,0.02410,0.02620,0.6640,2.2989,0.02094,0.0306,0.0241,3.2009,41.878,FEASIBLE,0,0.00
2.300,0.29459,0.02057,0.01866,0.7839,2.1035,0.02094,0.0306,0.0206,3.2044,35.822,FEASIBLE,0,0.50
2.400,0.38041,0.01554,0.00961,0.9039,2.7283,0.03491,0.0240,0.0155,3.2095,35.748,FEASIBLE,0,0.50
2.500,0.47070,0.01131,-0.00015,0.8030,3.0479,0.04887,0.0422,0.0113,3.2137,34.369,FEASIBLE,0,0.50
2.600,0.54745,0.00683,-0.00598,0.8007,2.9270,0.06283,0.0440,0.0068,3.2182,37.268,FEASIBLE,0,0.50
2.700,0.63496,0.00497,-0.00978,0.9560,2.6284,0.06283,0.0263,0.0050,3.2200,37.809,FEASIBLE,0,0.50
2.800,0.74785,0.00443,-0.01092,1.2790,2.2300,0.07679,0.0443,0.0044,3.2206,34.554,FEASIBLE,0,0.50
2.900,0.89568,0.00609,-0.00634,1.5392,1.9243,0.09076,0.0684,0.0061,3.2189,35.299,FEASIBLE,0,1.00
3.000,1.05666,0.01401,0.00554,1.6583,2.2466,0.09076,0.0168,0.0140,3.2110,34.768,FEASIBLE,0,1.00
3.100,1.22845,0.02945,0.02443,1.7706,2.3846,0.07679,0.0466,0.0295,3.1955,34.829,FEASIBLE,0,1.00
3.200,1.41077,0.05267,0.04858,1.8836,2.2903,0.06283,0.0324,0.0527,3.1723,35.991,FEASIBLE,0,1.50
3.300,1.60348,0.08343,0.07599,1.9951,2.7663,0.04887,0.0091,0.0834,3.1416,34.583,FEASIBLE,0,1.50
3.402,1.80647,0.12136,0.10461,2.1110,2.9951,0.03491,0.0098,0.1214,3.1036,34.302,FEASIBLE,0,2.00
3.500,2.01971,0.16578,0.13245,2.2238,2.5228,0.02094,0.0252,0.1658,3.0592,35.240,FEASIBLE,0,2.00
3.600,2.24281,0.21556,0.15748,2.3270,0.8000,0.00698,0.0545,0.2156,3.0094,35.238,FEASIBLE,0,2.00
3.700,2.47652,0.26847,0.17723,2.4467,0.8000,-0.00698,0.0441,0.2685,2.9565,35.005,FEASIBLE,0,2.50
3.800,2.72176,0.32308,0.19062,2.5533,0.8000,-0.02094,0.0703,0.3231,2.9019,35.487,FEASIBLE,0,2.50
3.900,2.97680,0.37676,0.19556,2.6399,0.8000,-0.03491,0.1077,0.3768,2.8482,34.329,FEASIBLE,0,3.00
4.000,3.24000,0.42680,0.19026,2.6933,3.4384,-0.04887,0.1143,0.4268,2.7982,34.486,FEASIBLE,0,3.00
4.100,3.56302,0.47525,0.17133,2.7509,2.5907,-0.06283,0.1457,0.4753,2.7497,35.444,FEASIBLE,0,3.50
