time_s,x,y,yaw_rad,speed_mps,command_speed_mps,steering_rad,tracking_error_m,center_error_m,minimum_clearance_m,planning_ms,planner_status,collision_count,progress_percent
0.100,-0.00000,-0.00000,-0.00000,0.0000,0.0000,0.00000,inf,0.0000,3.2250,0.000,WAITING,0,0.00
0.200,-0.00226,-0.00008,0.00004,0.1042,0.0000,0.00000,0.0015,0.0001,3.2249,44.790,FEASIBLE,0,0.00
0.300,-0.00320,-0.00039,-0.00070,0.0289,0.5000,-0.07854,0.0018,0.0004,3.2246,39.176,FEASIBLE,0,0.00
0.400,-0.00608,-0.00260,-0.00427,0.0399,0.5000,-0.13090,0.0085,0.0026,3.2224,38.770,FEASIBLE,0,0.00
0.500,-0.00730,-0.00554,-0.00851,0.0312,0.5000,-0.18326,0.0435,0.0055,3.2195,40.662,FEASIBLE,0,0.00
0.600,-0.00319,-0.00817,-0.01225,0.0730,0.5000,-0.23562,0.0249,0.0082,3.2168,39.855,FEASIBLE,0,0.00
0.700,0.00719,-0.01141,-0.01671,0.1331,0.3530,-0.28798,0.0154,0.0114,3.2136,37.494,FEASIBLE,0,0.00
0.800,0.02402,-0.01647,-0.02353,0.2048,0.3295,-0.34034,0.0032,0.0165,3.2085,39.165,FEASIBLE,0,0.00
0.900,0.04852,-0.02405,-0.03344,0.2909,0.3257,-0.39270,0.0143,0.0240,3.2010,40.042,FEASIBLE,0,0.00
1.000,0.08261,-0.03335,-0.04491,0.3898,0.3251,-0.39270,0.0036,0.0333,3.1917,42.518,FEASIBLE,0,0.00
1.104,0.13537,-0.04328,-0.05538,0.4758,0.3250,-0.34034,0.0017,0.0433,3.1817,36.939,FEASIBLE,0,0.00
1.202,0.18564,-0.05102,-0.06224,0.5231,0.3250,-0.28798,0.0126,0.0510,3.1740,35.481,FEASIBLE,0,0.00
1.300,0.22898,-0.05759,-0.06765,0.5523,0.3250,-0.28798,0.0015,0.0576,3.1674,37.910,FEASIBLE,0,0.00
1.400,0.28478,-0.06604,-0.07410,0.5584,0.3250,-0.33422,0.0026,0.0660,3.1590,41.751,FEASIBLE,0,0.50
1.500,0.33998,-0.07517,-0.08099,0.5534,0.3250,-0.32089,0.0029,0.0752,3.1498,35.320,FEASIBLE,0,0.50
