time_s,x,y,yaw_rad,speed_mps,command_speed_mps,steering_rad,tracking_error_m,center_error_m,minimum_clearance_m,planning_ms,planner_status,collision_count,progress_percent
0.100,-0.00000,-0.00000,-0.00000,0.0000,0.0000,0.00000,inf,0.0000,3.2250,0.000,WAITING,0,0.00
0.200,-0.00226,-0.00008,0.00004,0.1042,0.0000,0.00000,0.0015,0.0001,3.2249,34.562,FEASIBLE,0,0.00
0.300,-0.00267,-0.00009,0.00005,0.0005,1.3721,0.05236,0.0092,0.0001,3.2249,35.305,FEASIBLE,0,0.00
0.400,-0.00558,0.00223,0.00373,0.0370,1.3363,0.08727,0.0131,0.0022,3.2228,35.237,FEASIBLE,0,0.00
0.500,-0.00673,0.00501,0.00776,0.0303,1.2962,0.12217,0.0357,0.0050,3.2200,37.565,FEASIBLE,0,0.00
0.600,-0.00262,0.00764,0.01151,0.0729,1.1610,0.15708,0.0174,0.0076,3.2174,34.856,FEASIBLE,0,0.00
0.700,0.00775,0.01088,0.01597,0.1331,1.0878,0.19199,0.0070,0.0109,3.2141,35.471,FEASIBLE,0,0.00
0.800,0.02459,0.01594,0.02279,0.2049,1.0761,0.20317,0.0095,0.0159,3.2091,34.747,FEASIBLE,0,0.00
0.900,0.05504,0.02536,0.03512,0.3101,1.0742,0.19945,0.0062,0.0254,3.1996,34.745,FEASIBLE,0,0.00
1.000,0.08263,0.03426,0.04633,0.3923,1.0739,0.19626,0.0073,0.0343,3.1907,34.522,FEASIBLE,0,0.00
1.102,0.13661,0.05265,0.06838,0.5329,1.0738,0.17092,0.0138,0.0527,3.1723,33.997,FEASIBLE,0,0.00
1.200,0.18167,0.06791,0.08533,0.6256,1.0738,0.14082,0.0132,0.0679,3.1571,35.259,FEASIBLE,0,0.00
1.300,0.26346,0.09105,0.10713,0.7591,1.2542,0.12178,0.0256,0.0910,3.1340,35.956,FEASIBLE,0,0.50
1.400,0.34463,0.10904,0.11961,0.8712,1.2831,0.09057,0.0181,0.1090,3.1160,34.377,FEASIBLE,0,0.50
1.500,0.39644,0.12678,0.12366,0.6588,1.3736,0.06671,0.0341,0.1268,3.0982,35.032,FEASIBLE,0,0.50
1.600,0.47145,0.16054,0.12572,0.7592,1.4225,0.03180,0.0572,0.1605,3.0645,33.498,FEASIBLE,0,0.50
1.700,0.54718,0.17427,0.12157,1.0490,1.4303,-0.00311,0.0055,0.1743,3.0507,35.435,FEASIBLE,0,0.50
1.800,0.65173,0.16940,0.12124,1.1212,1.4315,-0.03801,0.0096,0.1694,3.0556,34.643,FEASIBLE,0,0.50
1.900,0.79880,0.16673,0.11364,1.5656,1.3458,-0.07292,0.0208,0.1667,3.0583,35.104,FEASIBLE,0,1.00
2.000,0.95142,0.17835,0.10594,1.5276,1.2978,-0.07165,0.0257,0.1783,3.0467,35.535,FEASIBLE,0,1.00
2.100,1.11136,0.19175,0.09857,1.6836,1.3244,-0.07165,0.0097,0.1917,3.0333,34.390,FEASIBLE,0,1.00
2.200,1.28139,0.20304,0.09205,1.7369,1.2943,-0.07165,0.0052,0.2030,3.0220,34.231,FEASIBLE,0,1.50
2.300,1.45661,0.21413,0.08647,1.7729,1.3754,-0.06899,0.0042,0.2141,3.0109,34.280,FEASIBLE,0,1.50
2.400,1.63471,0.22391,0.08032,1.7878,1.3369,-0.07882,0.0095,0.2239,3.0011,33.767,FEASIBLE,0,1.50
2.500,1.81430,0.23139,0.07265,1.7978,1.2963,-0.08614,0.0049,0.2314,2.9936,33.806,FEASIBLE,0,2.00
2.600,1.99355,0.23655,0.06396,1.7882,1.2898,-0.09728,0.0080,0.2365,2.9885,34.767,FEASIBLE,0,2.00
2.700,2.16986,0.23990,0.05481,1.7481,1.2888,-0.09408,0.0093,0.2399,2.9851,34.198,FEASIBLE,0,2.00
2.800,2.34160,0.24169,0.04617,1.6933,1.2886,-0.08318,0.0029,0.2417,2.9833,33.648,FEASIBLE,0,2.50
2.900,2.50629,0.24340,0.03824,1.6157,1.2886,-0.08866,0.0120,0.2434,2.9816,35.014,FEASIBLE,0,2.50
3.000,2.66212,0.24373,0.03048,1.5175,1.2886,-0.07180,0.0179,0.2437,2.9813,34.638,FEASIBLE,0,2.50
3.100,2.80635,0.24260,0.02278,1.3857,1.3745,-0.06463,0.0133,0.2426,2.9824,34.458,FEASIBLE,0,3.00
3.200,2.93702,0.24058,0.01593,1.2583,1.4226,-0.02973,0.0040,0.2406,2.9844,34.667,FEASIBLE,0,3.00
3.300,3.05538,0.23867,0.01048,1.1355,1.4303,-0.01521,0.0112,0.2387,2.9863,33.960,FEASIBLE,0,3.00
3.400,3.16251,0.23762,0.00748,1.0307,1.4315,0.00412,0.0109,0.2376,2.9874,34.632,FEASIBLE,0,3.00
3.500,3.26016,0.23750,0.00728,0.9419,1.4317,0.00877,0.0244,0.2375,2.9875,33.225,FEASIBLE,0,3.50
3.600,3.34967,0.23771,0.00895,0.8710,1.4318,0.01325,0.0186,0.2377,2.9873,33.906,FEASIBLE,0,3.50
3.700,3.43527,0.24038,0.01142,0.8487,1.4318,-0.00334,0.0111,0.2404,2.9846,34.101,FEASIBLE,0,3.50
3.800,3.51883,0.24403,0.01298,0.8213,1.4318,0.00223,0.0022,0.2440,2.9810,34.905,FEASIBLE,0,3.50
3.900,3.59847,0.24443,0.01192,0.7814,1.4318,-0.00104,0.0172,0.2444,2.9806,33.762,FEASIBLE,0,3.50
4.000,3.67532,0.24166,0.00826,0.7702,1.4318,0.01122,0.0081,0.2417,2.9833,34.569,FEASIBLE,0,3.50
4.100,3.75348,0.23901,0.00321,0.7910,1.4318,0.00759,0.0040,0.2390,2.9860,34.785,FEASIBLE,0,4.00
4.200,3.83177,0.23596,-0.00168,0.7843,1.4318,0.00496,0.0086,0.2360,2.9890,33.960,FEASIBLE,0,4.00
4.304,3.91258,0.23322,-0.00502,0.8239,1.4318,0.02255,0.0127,0.2332,2.9918,34.538,FEASIBLE,0,4.00
4.400,3.99750,0.23282,-0.00524,0.8675,1.4318,0.02255,0.0081,0.2328,2.9922,34.821,FEASIBLE,0,4.00
4.502,4.10660,0.23586,-0.00016,0.9428,1.4318,0.00862,0.0144,0.2359,2.9891,33.716,FEASIBLE,0,4.00
4.600,4.20628,0.24152,0.00768,1.0424,1.4318,0.01373,0.0147,0.2415,2.9835,33.526,FEASIBLE,0,4.00
4.700,4.29363,0.24810,0.01505,1.1270,1.4318,0.01373,0.0129,0.2481,2.9769,34.478,FEASIBLE,0,4.50
4.800,4.41315,0.25724,0.02390,1.2493,1.4318,0.00106,0.0240,0.2572,2.9678,34.316,FEASIBLE,0,4.50
4.900,4.54553,0.26597,0.03036,1.3791,1.4318,-0.02099,0.0053,0.2660,2.9590,34.074,FEASIBLE,0,4.50
5.000,4.69118,0.27243,0.03224,1.5105,1.4318,-0.05547,0.0098,0.2724,2.9526,34.982,FEASIBLE,0,4.50
5.100,4.84876,0.27445,0.02781,1.6091,1.3459,-0.08551,0.0103,0.2744,2.9506,34.992,FEASIBLE,0,5.00
5.200,5.01267,0.27133,0.01755,1.6606,1.2978,-0.08551,0.0149,0.2713,2.9537,33.878,FEASIBLE,0,5.00
5.300,5.18351,0.26279,0.00270,1.7372,1.3244,-0.07994,0.0038,0.2628,2.9622,33.880,FEASIBLE,0,5.00
5.400,5.36022,0.24906,-0.01531,1.7910,1.4146,-0.04503,0.0057,0.2491,2.9759,34.474,FEASIBLE,0,5.50
5.500,5.54045,0.23067,-0.03489,1.8213,1.4290,-0.01012,0.0253,0.2307,2.9943,34.543,FEASIBLE,0,5.50
5.600,5.72181,0.20853,-0.05447,1.8281,1.4313,0.02478,0.0320,0.2085,3.0165,33.475,FEASIBLE,0,5.50
5.700,5.90206,0.18408,-0.07245,1.8107,1.4317,0.05969,0.0295,0.1841,3.0409,34.130,FEASIBLE,0,6.00
5.800,6.07920,0.15901,-0.08741,1.7723,1.3115,0.09460,0.0474,0.1590,3.0660,33.419,FEASIBLE,0,6.00
5.900,6.25050,0.13557,-0.09779,1.6759,1.2923,0.12950,0.0612,0.1356,3.0894,33.151,FEASIBLE,0,6.50
6.000,6.41115,0.11651,-0.10216,1.5764,1.1088,0.16441,0.0458,0.1165,3.1085,33.936,FEASIBLE,0,6.50
6.100,6.59008,0.10168,-0.09796,1.4332,1.0794,0.19932,0.0388,0.1017,3.1233,33.801,FEASIBLE,0,6.50
6.200,6.69929,0.09824,-0.08866,1.3239,1.0747,0.23422,0.0301,0.0982,3.1268,35.435,FEASIBLE,0,6.50
6.300,6.82304,0.10189,-0.06996,1.1783,0.9022,0.26913,0.0182,0.1019,3.1231,33.880,FEASIBLE,0,7.00
6.400,6.93115,0.11355,-0.04503,1.0264,0.8058,0.26913,0.0097,0.1136,3.1114,34.192,FEASIBLE,0,7.00
6.500,7.02326,0.13158,-0.01588,0.8844,1.0310,0.25751,0.0128,0.1316,3.0934,34.660,FEASIBLE,0,7.00
6.600,7.10287,0.15336,0.01459,0.7791,1.0670,0.22260,0.0198,0.1534,3.0716,33.763,FEASIBLE,0,7.00
6.700,7.17032,0.17468,0.04169,0.6607,1.0727,0.18770,0.0269,0.1747,3.0503,34.627,FEASIBLE,0,7.00
6.800,7.22813,0.19465,0.06529,0.5766,1.0737,0.15279,0.0220,0.1946,3.0304,33.954,FEASIBLE,0,7.00
6.900,7.27676,0.21266,0.08532,0.4857,1.2542,0.11788,0.0262,0.2127,3.0123,34.821,FEASIBLE,0,7.50
7.000,7.31653,0.22816,0.10189,0.3958,1.2831,0.08298,0.0473,0.2282,2.9968,34.324,FEASIBLE,0,7.50
7.100,7.34841,0.24112,0.11522,0.3189,1.4080,0.04807,0.0312,0.2411,2.9839,34.210,FEASIBLE,0,7.50
