time_s,x,y,yaw_rad,speed_mps,command_speed_mps,steering_rad,tracking_error_m,center_error_m,minimum_clearance_m,planning_ms,planner_status,collision_count,progress_percent
0.100,-0.00000,-0.00000,-0.00000,0.0000,0.0000,0.00000,inf,0.0000,3.2250,0.000,WAITING,0,0.00
0.200,-0.00226,-0.00008,0.00004,0.1042,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.300,-0.00267,-0.00009,0.00005,0.0001,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.400,-0.00266,-0.00009,0.00005,0.0002,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.500,-0.00264,-0.00009,0.00005,0.0003,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.600,-0.00261,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.700,-0.00257,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.800,-0.00254,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.900,-0.00251,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
1.000,-0.00247,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
1.100,-0.00244,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
1.200,-0.00240,-0.00009,0.00005,0.0004,3.8579,0.00698,0.0127,0.0001,3.2249,36.216,FEASIBLE,0,0.00
1.302,-0.00429,0.00142,0.00245,0.0431,2.4440,0.01396,0.0293,0.0014,3.2236,35.730,FEASIBLE,0,0.00
1.400,-0.00508,0.00286,0.00455,0.0143,2.4224,0.00698,0.0219,0.0029,3.2221,35.341,FEASIBLE,0,0.00
1.502,-0.00201,0.00518,0.00786,0.0614,2.4035,0.00698,0.0218,0.0052,3.2198,34.859,FEASIBLE,0,0.00
1.602,0.00910,0.00531,0.00791,0.1355,2.4093,0.00698,0.0223,0.0053,3.2197,34.211,FEASIBLE,0,0.00
1.700,0.02224,0.00525,0.00769,0.1822,2.5691,0.00698,0.0333,0.0053,3.2197,35.766,FEASIBLE,0,0.00
1.800,0.04472,0.00462,0.00654,0.2480,2.5151,-0.00698,0.0041,0.0046,3.2204,37.421,FEASIBLE,0,0.00
1.900,0.08143,0.00366,0.00485,0.3514,2.3791,0.00698,0.0050,0.0037,3.2213,35.829,FEASIBLE,0,0.00
2.000,0.11434,0.00275,0.00334,0.4448,2.3838,0.01264,0.0320,0.0028,3.2222,36.990,FEASIBLE,0,0.00
2.100,0.16567,0.00197,0.00201,0.5594,2.2557,0.01264,0.0114,0.0020,3.2230,40.429,FEASIBLE,0,0.00
2.200,0.22932,0.00240,0.00242,0.6835,2.1629,0.02660,0.0320,0.0024,3.2226,38.423,FEASIBLE,0,0.00
2.300,0.30497,0.00515,0.00592,0.8044,1.9645,0.02968,0.0261,0.0051,3.2199,37.779,FEASIBLE,0,0.50
2.400,0.39289,0.01058,0.01256,0.9265,2.5955,0.02968,0.0132,0.0106,3.2144,36.848,FEASIBLE,0,0.50
2.500,0.47465,0.02366,0.01963,0.7382,2.9424,0.04365,0.0204,0.0237,3.2013,34.943,FEASIBLE,0,0.50
2.600,0.54526,0.03223,0.02892,0.7598,2.8893,0.03983,0.0206,0.0322,3.1928,35.906,FEASIBLE,0,0.50
2.700,0.63087,0.03409,0.03289,0.9492,2.6978,0.03983,0.0162,0.0341,3.1909,37.228,FEASIBLE,0,0.50
2.800,0.74590,0.03890,0.03942,1.3289,2.5075,0.03498,0.0337,0.0389,3.1861,34.996,FEASIBLE,0,0.50
2.900,0.89227,0.05135,0.04822,1.5159,2.2954,0.03498,0.0475,0.0513,3.1737,35.988,FEASIBLE,0,1.00
3.000,1.05028,0.06479,0.05600,1.6324,2.7092,0.02959,0.0006,0.0648,3.1602,36.693,FEASIBLE,0,1.00
3.100,1.25606,0.08065,0.06204,1.7854,2.9564,0.02959,0.0392,0.0806,3.1444,35.073,FEASIBLE,0,1.50
3.200,1.40344,0.09113,0.06433,1.8850,2.6640,0.01563,0.0285,0.0911,3.1339,36.244,FEASIBLE,0,1.50
3.300,1.59911,0.10470,0.06653,2.0092,3.1267,0.01527,0.0223,0.1047,3.1203,35.300,FEASIBLE,0,1.50
3.400,1.80694,0.11960,0.06895,2.1298,3.3116,0.00442,0.0321,0.1196,3.1054,34.389,FEASIBLE,0,2.00
3.500,2.02655,0.13589,0.07154,2.2458,2.6814,0.00442,0.0105,0.1359,3.0891,35.076,FEASIBLE,0,2.00
3.600,2.25774,0.15327,0.07348,2.3645,3.0456,0.00442,0.0035,0.1533,3.0717,34.701,FEASIBLE,0,2.50
3.700,2.50003,0.17103,0.07409,2.4710,3.3255,0.00442,0.0242,0.1710,3.0540,35.526,FEASIBLE,0,2.50
3.800,2.75357,0.18916,0.07431,2.5880,3.9320,-0.00921,0.0073,0.1892,3.0358,34.341,FEASIBLE,0,3.00
3.900,3.01964,0.20879,0.07390,2.7170,3.7898,-0.02318,0.0072,0.2088,3.0162,34.221,FEASIBLE,0,3.00
4.000,3.29820,0.22753,0.07167,2.8426,2.9128,-0.00921,0.0321,0.2275,2.9975,34.944,FEASIBLE,0,3.50
4.100,3.58957,0.24392,0.06604,2.9695,2.5066,-0.00921,0.0092,0.2439,2.9811,34.005,FEASIBLE,0,3.50
