time_s,x,y,yaw_rad,speed_mps,command_speed_mps,steering_rad,tracking_error_m,center_error_m,minimum_clearance_m,planning_ms,planner_status,collision_count,progress_percent
0.100,-0.00000,-0.00000,-0.00000,0.0000,0.0000,0.00000,inf,0.0000,3.2250,0.000,WAITING,0,0.00
0.200,-0.00268,-0.00009,0.00005,0.0676,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.300,-0.00267,-0.00009,0.00005,0.0001,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.400,-0.00266,-0.00009,0.00005,0.0002,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.500,-0.00264,-0.00009,0.00005,0.0003,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.600,-0.00260,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.700,-0.00258,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.800,-0.00254,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.900,-0.00251,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
1.000,-0.00247,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
1.100,-0.00244,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
1.202,-0.00240,-0.00009,0.00005,0.0004,0.0000,0.00000,0.0127,0.0001,3.2249,35.544,FEASIBLE,0,0.00
1.300,-0.00260,-0.00025,-0.00038,0.0135,1.3721,-0.01382,0.0269,0.0002,3.2248,35.202,FEASIBLE,0,0.00
1.400,-0.00528,-0.00237,-0.00395,0.0372,1.4222,-0.03250,0.0169,0.0024,3.2226,35.391,FEASIBLE,0,0.00
1.500,-0.00618,-0.00532,-0.00822,0.0306,1.4303,-0.03660,0.0165,0.0053,3.2197,34.710,FEASIBLE,0,0.00
1.600,-0.00040,-0.00859,-0.01279,0.0824,1.4315,-0.03660,0.0269,0.0086,3.2164,33.743,FEASIBLE,0,0.00
1.700,0.00819,-0.01124,-0.01642,0.1306,1.4317,-0.03660,0.0356,0.0112,3.2138,37.412,FEASIBLE,0,0.00
1.800,0.02542,-0.01601,-0.02264,0.2182,1.4318,-0.01734,0.0078,0.0160,3.2090,35.671,FEASIBLE,0,0.00
1.900,0.05263,-0.01963,-0.02681,0.3049,1.4318,-0.01747,0.0065,0.0196,3.2054,35.070,FEASIBLE,0,0.00
2.000,0.08925,-0.02145,-0.02791,0.3983,1.4318,-0.01384,0.0331,0.0214,3.2036,35.832,FEASIBLE,0,0.00
2.100,0.13461,-0.02206,-0.02688,0.4978,1.4318,-0.01384,0.0102,0.0221,3.2029,35.293,FEASIBLE,0,0.00
2.200,0.19170,-0.02212,-0.02474,0.6171,1.4318,-0.01267,0.0314,0.0221,3.2029,36.952,FEASIBLE,0,0.00
2.300,0.26074,-0.02257,-0.02297,0.7341,1.4318,-0.02227,0.0277,0.0226,3.2024,35.809,FEASIBLE,0,0.50
2.400,0.34126,-0.02471,-0.02339,0.8450,1.4318,-0.05717,0.0368,0.0247,3.2003,35.717,FEASIBLE,0,0.50
2.500,0.43269,-0.03006,-0.02776,0.9566,1.3974,-0.05717,0.0456,0.0301,3.1949,34.113,FEASIBLE,0,0.50
2.600,0.50650,-0.04898,-0.03644,0.7565,1.4263,-0.02227,0.0634,0.0490,3.1760,35.980,FEASIBLE,0,0.50
2.700,0.58487,-0.05564,-0.04786,0.8611,1.4309,0.01264,0.0083,0.0556,3.1694,34.911,FEASIBLE,0,0.50
2.800,0.68641,-0.06106,-0.05879,1.1425,1.4316,0.04754,0.0178,0.0611,3.1639,36.660,FEASIBLE,0,0.50
2.900,0.81977,-0.07817,-0.07492,1.4869,1.4318,0.06114,0.0442,0.0782,3.1468,36.990,FEASIBLE,0,1.00
3.000,0.97326,-0.10315,-0.09154,1.5976,1.3115,0.09472,0.0261,0.1032,3.1218,59.781,FEASIBLE,0,1.00
3.100,1.16968,-0.13576,-0.10872,1.6995,1.2923,0.12963,0.0754,0.1358,3.0892,40.910,FEASIBLE,0,1.00
3.200,1.34127,-0.16328,-0.11895,1.7617,1.1088,0.15869,0.0718,0.1633,3.0617,37.260,FEASIBLE,0,1.50
3.300,1.48240,-0.18411,-0.12340,1.7944,1.0794,0.18991,0.0695,0.1841,3.0409,34.514,FEASIBLE,0,1.50
3.400,1.66192,-0.20674,-0.12304,1.8160,1.0747,0.20247,0.0815,0.2067,3.0183,35.762,FEASIBLE,0,1.50
3.500,1.84335,-0.22323,-0.11482,1.8217,1.0740,0.18307,0.0542,0.2232,3.0018,34.250,FEASIBLE,0,2.00
3.600,2.02465,-0.23155,-0.09781,1.8081,1.0739,0.18307,0.0409,0.2315,2.9935,34.305,FEASIBLE,0,2.00
3.700,2.20155,-0.22893,-0.07304,1.7486,1.0738,0.17495,0.0612,0.2289,2.9961,36.982,FEASIBLE,0,2.00
3.800,2.37054,-0.21784,-0.04292,1.6776,1.0738,0.14898,0.0550,0.2178,3.0072,34.817,FEASIBLE,0,2.50
3.900,2.56504,-0.19317,-0.00147,1.5981,1.2542,0.11408,0.0058,0.1932,3.0318,34.363,FEASIBLE,0,2.50
4.000,2.68751,-0.17105,0.02769,1.5290,1.2831,0.07917,0.0022,0.1711,3.0539,34.797,FEASIBLE,0,2.50
4.100,2.83042,-0.13872,0.06411,1.4188,1.4080,0.04426,0.0006,0.1387,3.0863,35.289,FEASIBLE,0,3.00
4.200,2.98502,-0.09635,0.10520,1.2785,1.4280,0.00936,0.0442,0.0963,3.1287,34.389,FEASIBLE,0,3.00
4.304,3.10142,-0.06043,0.13534,1.1781,1.4312,-0.02555,0.0290,0.0604,3.1646,35.175,FEASIBLE,0,3.00
4.402,3.20838,-0.02693,0.15980,1.0878,1.4317,-0.06046,0.0506,0.0269,3.1981,33.859,FEASIBLE,0,3.00
4.502,3.30939,0.00257,0.17666,1.0236,1.3115,-0.09536,0.0186,0.0026,3.2224,34.753,FEASIBLE,0,3.50
4.600,3.40524,0.02524,0.18351,0.9607,1.2923,-0.13027,0.0069,0.0252,3.1998,33.689,FEASIBLE,0,3.50
4.700,3.49765,0.03904,0.17828,0.9207,1.1088,-0.15442,0.0286,0.0390,3.1860,35.097,FEASIBLE,0,3.50
4.800,3.57032,0.04310,0.16479,0.9059,1.0794,-0.17635,0.0011,0.0431,3.1819,35.148,FEASIBLE,0,3.50
4.900,3.65939,0.03967,0.13766,0.8662,1.0747,-0.21125,0.0471,0.0397,3.1853,35.095,FEASIBLE,0,3.50
