time_s,x,y,yaw_rad,speed_mps,command_speed_mps,steering_rad,tracking_error_m,center_error_m,minimum_clearance_m,planning_ms,planner_status,collision_count,progress_percent
0.100,-0.00000,-0.00000,-0.00000,0.0000,0.0000,0.00000,inf,0.0000,3.2250,0.000,WAITING,0,0.00
0.206,-0.00268,-0.00009,0.00005,0.0676,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.306,-0.00267,-0.00009,0.00005,0.0002,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.400,-0.00266,-0.00009,0.00005,0.0002,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.500,-0.00264,-0.00009,0.00005,0.0003,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.600,-0.00261,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.700,-0.00258,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.800,-0.00254,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.900,-0.00251,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
1.000,-0.00247,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
1.100,-0.00244,-0.00009,0.00005,0.0004,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
1.200,-0.00240,-0.00009,0.00005,0.0004,0.6043,-0.01309,0.0127,0.0001,3.2249,39.575,FEASIBLE,0,0.00
1.300,-0.00236,-0.00009,0.00005,0.0005,0.7951,-0.03927,0.0126,0.0001,3.2249,39.575,FEASIBLE,0,0.00
1.400,-0.00509,-0.00214,-0.00361,0.0393,0.4479,-0.06545,0.0165,0.0021,3.2229,55.278,FEASIBLE,0,0.00
1.514,-0.00611,-0.00571,-0.00876,0.0321,0.5586,-0.09163,0.0160,0.0057,3.2193,44.826,FEASIBLE,0,0.00
1.602,-0.00105,-0.00837,-0.01248,0.0779,0.6169,-0.11781,0.0269,0.0084,3.2166,40.619,FEASIBLE,0,0.00
1.724,0.00983,-0.01172,-0.01709,0.1384,0.4616,-0.12068,0.0367,0.0117,3.2133,38.845,FEASIBLE,0,0.00
1.800,0.02353,-0.01571,-0.02229,0.2083,0.7106,-0.14686,0.0075,0.0157,3.2093,36.143,FEASIBLE,0,0.00
1.900,0.04975,-0.01979,-0.02717,0.2932,0.5910,-0.17304,0.0067,0.0198,3.2052,38.026,FEASIBLE,0,0.00
