time_s,x,y,yaw_rad,speed_mps,command_speed_mps,steering_rad,tracking_error_m,center_error_m,minimum_clearance_m,planning_ms,planner_status,collision_count,progress_percent
0.100,-0.00000,-0.00000,-0.00000,0.0000,0.0000,0.00000,inf,0.0000,3.2250,0.000,WAITING,0,0.00
0.200,-0.00226,-0.00008,0.00004,0.1042,3.9038,0.00698,0.0015,0.0001,3.2249,38.840,FEASIBLE,0,0.00
0.300,-0.00406,0.00089,0.00183,0.0423,2.6958,0.00698,0.0107,0.0009,3.2241,37.290,FEASIBLE,0,0.00
0.400,-0.00550,0.00288,0.00473,0.0147,2.4833,0.02094,0.0136,0.0029,3.2221,38.695,FEASIBLE,0,0.00
0.500,-0.00403,0.00525,0.00816,0.0405,2.6386,0.02094,0.0375,0.0052,3.2198,37.661,FEASIBLE,0,0.00
0.600,0.00234,0.00855,0.01283,0.0997,2.6658,0.02094,0.0175,0.0086,3.2164,36.553,FEASIBLE,0,0.00
0.700,0.01589,0.01262,0.01839,0.1717,2.6065,0.03054,0.0036,0.0126,3.2124,36.099,FEASIBLE,0,0.00
0.800,0.03819,0.01670,0.02359,0.2598,2.4932,0.01657,0.0072,0.0167,3.2083,37.403,FEASIBLE,0,0.00
0.900,0.06979,0.01995,0.02710,0.3521,2.4579,0.03054,0.0014,0.0199,3.2051,39.967,FEASIBLE,0,0.00
1.000,0.11079,0.02241,0.02899,0.4488,2.4792,0.03054,0.0202,0.0224,3.2026,37.909,FEASIBLE,0,0.00
1.100,0.16262,0.02475,0.03014,0.5617,2.3782,0.03054,0.0070,0.0248,3.2002,34.188,FEASIBLE,0,0.00
1.200,0.22609,0.02769,0.03156,0.6804,2.1240,0.03083,0.0145,0.0277,3.1973,36.282,FEASIBLE,0,0.00
1.302,0.31783,0.03339,0.03537,0.8228,1.9018,0.03174,0.0060,0.0334,3.1916,36.529,FEASIBLE,0,0.50
1.400,0.38844,0.03901,0.03965,0.9166,2.6450,0.02476,0.0059,0.0390,3.1860,36.097,FEASIBLE,0,0.50
1.500,0.46465,0.05470,0.04490,0.7231,2.9482,0.02476,0.0160,0.0547,3.1703,37.003,FEASIBLE,0,0.50
1.600,0.54902,0.07297,0.05738,0.7424,2.8168,0.01778,0.0283,0.0730,3.1520,35.838,FEASIBLE,0,0.50
1.700,0.61644,0.07435,0.06224,0.9245,3.0117,0.02476,0.0391,0.0743,3.1507,36.001,FEASIBLE,0,0.50
1.800,0.72882,0.07515,0.06535,1.3004,2.8489,0.01080,0.0243,0.0752,3.1498,36.958,FEASIBLE,0,0.50
1.900,0.87492,0.08710,0.06883,1.5232,2.4748,0.01080,0.0225,0.0871,3.1379,37.490,FEASIBLE,0,1.00
2.000,1.03427,0.10044,0.07229,1.6469,3.1549,0.01080,0.0286,0.1004,3.1246,35.286,FEASIBLE,0,1.00
2.100,1.20542,0.11506,0.07576,1.7637,3.2755,-0.00317,0.0092,0.1151,3.1099,35.386,FEASIBLE,0,1.00
2.200,1.38825,0.12982,0.07769,1.8822,3.0516,0.01080,0.0259,0.1298,3.0952,36.389,FEASIBLE,0,1.50
2.300,1.58350,0.14331,0.07665,2.0122,3.5558,-0.00317,0.0127,0.1433,3.0817,36.984,FEASIBLE,0,1.50
2.400,1.79148,0.15545,0.07296,2.1353,3.6413,-0.01713,0.0115,0.1555,3.0695,36.338,FEASIBLE,0,2.00
2.500,2.01224,0.16653,0.06797,2.2580,3.4173,-0.00872,0.0296,0.1665,3.0585,35.261,FEASIBLE,0,2.00
2.600,2.24536,0.17748,0.06320,2.3812,3.9637,-0.02269,0.0210,0.1775,3.0475,34.154,FEASIBLE,0,2.00
2.700,2.53904,0.19154,0.05828,2.5021,3.6524,-0.02967,0.0119,0.1915,3.0335,34.292,FEASIBLE,0,2.50
2.800,2.74392,0.20118,0.05551,2.6020,4.2341,-0.02269,0.0069,0.2012,3.0238,37.626,FEASIBLE,0,2.50
