time_s,x,y,yaw_rad,speed_mps,command_speed_mps,steering_rad,tracking_error_m,center_error_m,minimum_clearance_m,planning_ms,planner_status,collision_count,progress_percent
0.100,-0.00000,-0.00000,-0.00000,0.0000,0.0000,0.00000,inf,0.0000,3.2250,0.000,WAITING,0,0.00
0.200,-0.00226,-0.00008,0.00004,0.1042,3.9038,0.00698,0.0015,0.0001,3.2249,35.255,FEASIBLE,0,0.00
0.300,-0.00391,0.00078,0.00167,0.0413,2.6958,0.02094,0.0105,0.0008,3.2242,35.702,FEASIBLE,0,0.00
0.400,-0.00648,0.00347,0.00558,0.0300,2.4831,0.03491,0.0145,0.0035,3.2215,35.938,FEASIBLE,0,0.00
0.500,-0.00566,0.00632,0.00968,0.0432,2.6386,0.03491,0.0362,0.0063,3.2187,35.429,FEASIBLE,0,0.00
0.600,0.00161,0.00899,0.01342,0.1009,2.6729,0.03491,0.0184,0.0090,3.2160,35.275,FEASIBLE,0,0.00
0.700,0.01496,0.01301,0.01890,0.1658,2.6085,0.03491,0.0070,0.0130,3.2120,35.928,FEASIBLE,0,0.00
0.800,0.03618,0.01820,0.02569,0.2569,2.4951,0.02094,0.0086,0.0182,3.2068,34.468,FEASIBLE,0,0.00
0.900,0.06736,0.02193,0.02982,0.3474,2.4659,0.03491,0.0004,0.0219,3.2031,35.672,FEASIBLE,0,0.00
1.000,0.10833,0.02410,0.03113,0.4463,2.4937,0.03491,0.0201,0.0241,3.2009,36.570,FEASIBLE,0,0.00
1.102,0.17138,0.02575,0.03069,0.5795,2.3949,0.03491,0.0104,0.0257,3.1993,35.062,FEASIBLE,0,0.00
1.202,0.22285,0.02679,0.02994,0.6773,2.2320,0.03491,0.0142,0.0268,3.1982,35.874,FEASIBLE,0,0.00
1.300,0.31453,0.02939,0.02975,0.8220,2.0043,0.02709,0.0096,0.0294,3.1956,36.100,FEASIBLE,0,0.50
1.400,0.40398,0.03371,0.03202,0.9383,1.8530,0.02709,0.0201,0.0337,3.1913,35.617,FEASIBLE,0,0.50
