timestamp_s,x,y,yaw,seq
1.118000,-0.00883,-0.03334,0.273803,0
1.118000,1.00000,0.25000,0.000000,1
1.118000,2.00000,0.25000,0.000000,2
1.118000,3.00000,0.25000,0.000000,3
1.118000,4.00000,0.25000,0.000000,4
1.118000,5.00000,0.25000,0.000000,5
1.118000,6.00000,0.25000,0.000000,6
1.118000,7.00000,0.25000,0.000000,7
1.118000,8.00000,0.25000,0.000000,8
1.118000,9.00000,0.25000,0.000000,9
1.118000,10.00000,0.25000,0.000000,10
1.118000,11.00000,0.25000,0.244979,11
1.118000,12.00000,0.50000,0.244979,12
1.118000,13.00000,0.75000,0.244979,13
1.118000,14.00000,1.00000,0.463648,14
1.118000,15.00000,1.50000,0.463648,15
1.118000,16.00000,2.00000,0.000000,16
1.118000,17.00000,2.00000,0.000000,17
1.118000,18.00000,2.00000,-0.244979,18
1.118000,19.00000,1.75000,0.000000,19
1.118000,20.00000,1.75000,-0.244979,20
1.118000,21.00000,1.50000,-0.463648,21
1.118000,22.00000,1.00000,-0.463648,22
1.118000,23.00000,0.50000,-0.463648,23
1.118000,24.00000,0.00000,-0.463648,24
1.118000,25.00000,-0.50000,-0.463648,25
1.118000,26.00000,-1.00000,-0.244979,26
1.118000,27.00000,-1.25000,-0.244979,27
1.118000,28.00000,-1.50000,0.000000,28
1.118000,29.00000,-1.50000,0.000000,29
1.118000,30.00000,-1.50000,0.000000,30
1.202000,0.01821,-0.01658,0.265128,0
1.202000,1.00000,0.25000,0.000000,1
1.202000,2.00000,0.25000,0.000000,2
1.202000,3.00000,0.25000,0.000000,3
1.202000,4.00000,0.25000,0.000000,4
1.202000,5.00000,0.25000,0.000000,5
1.202000,6.00000,0.25000,0.000000,6
1.202000,7.00000,0.25000,0.000000,7
1.202000,8.00000,0.25000,0.000000,8
1.202000,9.00000,0.25000,0.000000,9
1.202000,10.00000,0.25000,0.000000,10
1.202000,11.00000,0.25000,0.244979,11
1.202000,12.00000,0.50000,0.244979,12
1.202000,13.00000,0.75000,0.244979,13
1.202000,14.00000,1.00000,0.463648,14
1.202000,15.00000,1.50000,0.463648,15
1.202000,16.00000,2.00000,0.000000,16
1.202000,17.00000,2.00000,0.000000,17
1.202000,18.00000,2.00000,-0.244979,18
1.202000,19.00000,1.75000,-0.244979,19
1.202000,20.00000,1.50000,-0.244979,20
1.202000,21.00000,1.25000,-0.463648,21
1.202000,22.00000,0.75000,-0.463648,22
1.202000,23.00000,0.25000,-0.463648,23
1.202000,24.00000,-0.25000,-0.463648,24
1.202000,25.00000,-0.75000,-0.463648,25
1.202000,26.00000,-1.25000,-0.244979,26
1.202000,27.00000,-1.50000,0.000000,27
1.202000,28.00000,-1.50000,0.000000,28
1.202000,29.00000,-1.50000,0.000000,29
1.202000,30.00000,-1.50000,0.000000,30
1.302000,0.00914,0.00322,0.244092,0
1.302000,1.00000,0.25000,0.000000,1
1.302000,2.00000,0.25000,0.000000,2
1.302000,3.00000,0.25000,0.000000,3
1.302000,4.00000,0.25000,0.000000,4
1.302000,5.00000,0.25000,0.000000,5
1.302000,6.00000,0.25000,0.000000,6
1.302000,7.00000,0.25000,0.000000,7
1.302000,8.00000,0.25000,0.000000,8
1.302000,9.00000,0.25000,0.000000,9
1.302000,10.00000,0.25000,0.000000,10
1.302000,11.00000,0.25000,0.244979,11
1.302000,12.00000,0.50000,0.244979,12
1.302000,13.00000,0.75000,0.244979,13
1.302000,14.00000,1.00000,0.463648,14
1.302000,15.00000,1.50000,0.463648,15
1.302000,16.00000,2.00000,0.000000,16
1.302000,17.00000,2.00000,0.000000,17
1.302000,18.00000,2.00000,0.000000,18
1.302000,19.00000,2.00000,-0.244979,19
1.302000,20.00000,1.75000,-0.244979,20
1.302000,21.00000,1.50000,-0.463648,21
1.302000,22.00000,1.00000,-0.463648,22
1.302000,23.00000,0.50000,-0.463648,23
1.302000,24.00000,0.00000,-0.463648,24
1.302000,25.00000,-0.50000,-0.463648,25
1.302000,26.00000,-1.00000,-0.244979,26
1.302000,27.00000,-1.25000,-0.244979,27
1.302000,28.00000,-1.50000,0.000000,28
1.302000,29.00000,-1.50000,0.000000,29
1.302000,30.00000,-1.50000,0.000000,30
1.418000,0.02185,-0.00333,0.253423,0
1.418000,1.00000,0.25000,0.000000,1
1.418000,2.00000,0.25000,0.000000,2
1.418000,3.00000,0.25000,0.000000,3
1.418000,4.00000,0.25000,0.000000,4
1.418000,5.00000,0.25000,0.000000,5
1.418000,6.00000,0.25000,0.000000,6
1.418000,7.00000,0.25000,0.000000,7
1.418000,8.00000,0.25000,0.000000,8
1.418000,9.00000,0.25000,0.000000,9
1.418000,10.00000,0.25000,0.000000,10
1.418000,11.00000,0.25000,0.244979,11
1.418000,12.00000,0.50000,0.244979,12
1.418000,13.00000,0.75000,0.244979,13
1.418000,14.00000,1.00000,0.463648,14
1.418000,15.00000,1.50000,0.463648,15
1.418000,16.00000,2.00000,0.000000,16
1.418000,17.00000,2.00000,0.000000,17
1.418000,18.00000,2.00000,0.000000,18
1.418000,19.00000,2.00000,-0.244979,19
1.418000,20.00000,1.75000,-0.244979,20
1.418000,21.00000,1.50000,-0.463648,21
1.418000,22.00000,1.00000,-0.463648,22
1.418000,23.00000,0.50000,-0.463648,23
1.418000,24.00000,0.00000,-0.463648,24
1.418000,25.00000,-0.50000,-0.463648,25
1.418000,26.00000,-1.00000,-0.244979,26
1.418000,27.00000,-1.25000,-0.244979,27
1.418000,28.00000,-1.50000,0.000000,28
1.418000,29.00000,-1.50000,0.000000,29
1.418000,30.00000,-1.50000,0.000000,30
1.500000,-0.02626,-0.02870,0.265172,0
1.500000,1.00000,0.25000,0.000000,1
1.500000,2.00000,0.25000,0.000000,2
1.500000,3.00000,0.25000,0.000000,3
1.500000,4.00000,0.25000,0.000000,4
1.500000,5.00000,0.25000,0.000000,5
1.500000,6.00000,0.25000,0.000000,6
1.500000,7.00000,0.25000,0.000000,7
1.500000,8.00000,0.25000,0.000000,8
1.500000,9.00000,0.25000,0.000000,9
1.500000,10.00000,0.25000,0.000000,10
1.500000,11.00000,0.25000,0.244979,11
1.500000,12.00000,0.50000,0.244979,12
1.500000,13.00000,0.75000,0.244979,13
1.500000,14.00000,1.00000,0.463648,14
1.500000,15.00000,1.50000,0.463648,15
1.500000,16.00000,2.00000,0.000000,16
1.500000,17.00000,2.00000,0.000000,17
1.500000,18.00000,2.00000,-0.244979,18
1.500000,19.00000,1.75000,-0.244979,19
1.500000,20.00000,1.50000,-0.244979,20
1.500000,21.00000,1.25000,-0.463648,21
1.500000,22.00000,0.75000,-0.463648,22
1.500000,23.00000,0.25000,-0.463648,23
1.500000,24.00000,-0.25000,-0.463648,24
1.500000,25.00000,-0.75000,-0.463648,25
1.500000,26.00000,-1.25000,-0.244979,26
1.500000,27.00000,-1.50000,0.000000,27
1.500000,28.00000,-1.50000,0.000000,28
1.500000,29.00000,-1.50000,0.000000,29
1.500000,30.00000,-1.50000,0.000000,30
1.600000,0.01608,0.03428,0.215826,0
1.600000,1.00000,0.25000,0.000000,1
1.600000,2.00000,0.25000,0.000000,2
1.600000,3.00000,0.25000,0.000000,3
1.600000,4.00000,0.25000,0.000000,4
1.600000,5.00000,0.25000,0.000000,5
1.600000,6.00000,0.25000,0.000000,6
1.600000,7.00000,0.25000,0.000000,7
1.600000,8.00000,0.25000,0.000000,8
1.600000,9.00000,0.25000,0.000000,9
1.600000,10.00000,0.25000,0.000000,10
1.600000,11.00000,0.25000,0.244979,11
1.600000,12.00000,0.50000,0.244979,12
1.600000,13.00000,0.75000,0.244979,13
1.600000,14.00000,1.00000,0.463648,14
1.600000,15.00000,1.50000,0.463648,15
1.600000,16.00000,2.00000,0.000000,16
1.600000,17.00000,2.00000,0.000000,17
1.600000,18.00000,2.00000,0.000000,18
1.600000,19.00000,2.00000,-0.244979,19
1.600000,20.00000,1.75000,-0.244979,20
1.600000,21.00000,1.50000,-0.463648,21
1.600000,22.00000,1.00000,-0.463648,22
1.600000,23.00000,0.50000,-0.463648,23
1.600000,24.00000,0.00000,-0.463648,24
1.600000,25.00000,-0.50000,-0.463648,25
1.600000,26.00000,-1.00000,-0.244979,26
1.600000,27.00000,-1.25000,-0.244979,27
1.600000,28.00000,-1.50000,0.000000,28
1.600000,29.00000,-1.50000,0.000000,29
1.600000,30.00000,-1.50000,0.000000,30
1.700000,0.05382,0.00368,0.254673,0
1.700000,1.00000,0.25000,0.000000,1
1.700000,2.00000,0.25000,0.000000,2
1.700000,3.00000,0.25000,0.000000,3
1.700000,4.00000,0.25000,0.000000,4
1.700000,5.00000,0.25000,0.000000,5
1.700000,6.00000,0.25000,0.000000,6
1.700000,7.00000,0.25000,0.000000,7
1.700000,8.00000,0.25000,0.000000,8
1.700000,9.00000,0.25000,0.000000,9
1.700000,10.00000,0.25000,0.000000,10
1.700000,11.00000,0.25000,0.244979,11
1.700000,12.00000,0.50000,0.244979,12
1.700000,13.00000,0.75000,0.244979,13
1.700000,14.00000,1.00000,0.463648,14
1.700000,15.00000,1.50000,0.463648,15
1.700000,16.00000,2.00000,0.000000,16
1.700000,17.00000,2.00000,0.000000,17
1.700000,18.00000,2.00000,0.000000,18
